air_temp,apd,day,dewpoint,dpd,gust,hour,lat,lat_attr,lon,lon_attr,minute,month,mwd,obs_time,pressure,ptdy,station_id,tide,vis,water_temp,wave_height,wind_dir,wind_speed
14.5,6.1,2,,16,4,14,32.491,32.491,-118.035,-118.035,50,4,197,4/2/2018 14:50:00,1012,0.7,46086,,,16.4,0.8,260,3
4.7,,2,1,9,2,14,48.493,48.493,-124.726,-124.726,50,4,,4/2/2018 14:50:00,1014.8,2.6,46087,,,8.2,1.6,360,1
5.8,3.4,2,1.8,3,9,14,48.334,48.334,-123.165,-123.165,50,4,247,4/2/2018 14:50:00,1014.6,2.9,46088,,,7.9,0.6,280,7
7.2,6.3,2,,8,12,14,45.925,45.925,-125.771,-125.771,50,4,301,4/2/2018 14:50:00,1019.5,2,46089,,,9.7,2.8,330,10
12.3,,2,,,,14,36.75,36.75,-122.03,-122.03,5,4,,4/2/2018 14:05:00,1012.6,0,46092,,,12.8,,310,9
7.4,,2,,,,13,44.639,44.639,-124.304,-124.304,50,4,,4/2/2018 13:50:00,1019.2,,46097,,,9.9,,310,6
,,2,,7,,13,44.381,44.381,-124.956,-124.956,10,4,325,4/2/2018 13:10:00,,,46098,,,,2.3,,
7.8,,2,,,,13,46.986,46.986,-124.566,-124.566,50,4,,4/2/2018 13:50:00,1015.5,,46099,,,9.4,,310,9
7.5,,2,,,,13,46.851,46.851,-124.972,-124.972,50,4,,4/2/2018 13:50:00,1015.4,,46100,,,9.5,,300,9
,3.7,2,,5,,15,59.597,59.597,-151.829,-151.829,8,4,327,4/2/2018 15:08:00,,,46108,,,4.3,0.6,,
,5.9,2,,8,,15,36.723,36.723,-122.351,-122.351,0,4,324,4/2/2018 15:00:00,,,46114,,,12.8,2.4,,
5.2,,2,1,,,14,48.724,48.724,-122.576,-122.576,55,4,,4/2/2018 14:55:00,1013.4,,46118,,,,,310,1
3.7,,2,1.1,,,15,47.761,47.761,-122.397,-122.397,8,4,,4/2/2018 15:08:00,1015.4,,46120,,,,,230,3
5,,2,,3,9,15,49.91,49.91,-124.99,-124.99,0,4,,4/2/2018 15:00:00,1014.6,2,46131,,,8.1,0.3,300,8
6.8,,2,,8,12,14,49.74,49.74,-127.93,-127.93,0,4,,4/2/2018 14:00:00,1016.6,1.6,46132,,,8.3,2.8,300,10
2.9,,2,,7,9,15,54.37,54.37,-132.44,-132.44,0,4,,4/2/2018 15:00:00,1013.3,-0.3,46145,,,6.4,0.9,240,8
5.4,,2,,4,8,15,49.34,49.34,-123.73,-123.73,0,4,,4/2/2018 15:00:00,1013.9,2.6,46146,,,8.2,0.7,310,7
5.4,,2,,8,8,15,51.83,51.83,-131.22,-131.22,0,4,,4/2/2018 15:00:00,1016.4,-0.4,46147,,,7.4,2.4,280,7
0.7,,2,,3,,14,53.83,53.83,-128.83,-128.83,0,4,,4/2/2018 14:00:00,1016.3,0.6,46181,,,5.3,0.1,,
4.8,,2,,3,,14,53.62,53.62,-131.1,-131.1,0,4,,4/2/2018 14:00:00,1014.5,-0.5,46183,,,7,0.5,0,
3.9,,2,,7,14,14,53.91,53.91,-138.85,-138.85,0,4,,4/2/2018 14:00:00,1015.2,,46184,,,5.7,2.3,280,12
5.3,,2,,5,5,15,52.42,52.42,-129.79,-129.79,0,4,,4/2/2018 15:00:00,1015.9,0.3,46185,,,8.7,0.9,300,4
6.4,,2,,10,8,15,51.38,51.38,-128.77,-128.77,0,4,,4/2/2018 15:00:00,1016.5,0.8,46204,,,8.3,1.6,300,6
3,,2,,6,6,14,54.19,54.19,-134.32,-134.32,0,4,,4/2/2018 14:00:00,1014,-0.9,46205,,,6.8,1.5,270,5
6.6,,2,,8,11,15,48.84,48.84,-126,-126,0,4,,4/2/2018 15:00:00,1016.2,2.1,46206,,,8.5,2.4,300,9
12.8,,2,,8,9,15,50.87,50.87,-129.92,-129.92,0,4,,4/2/2018 15:00:00,1017.3,0.6,46207,,,8.5,2.8,260,7
,6.7,2,,9,,15,46.858,46.858,-124.244,-124.244,0,4,299,4/2/2018 15:00:00,,,46211,,,9.4,3,,
,,2,,5,,14,40.295,40.295,-124.732,-124.732,52,4,,4/2/2018 14:52:00,,,46213,,,10.9,2.1,,
,6.2,2,,8,,14,35.204,35.204,-120.859,-120.859,57,4,290,4/2/2018 14:57:00,,,46215,,,12.6,1.3,,
,6.8,2,,7,,15,34.167,34.167,-119.435,-119.435,0,4,275,4/2/2018 15:00:00,,,46217,,,13.2,0.6,,
